id,name,latitude,longitude,district,address,dmrcaRegistrationNo,confidence,verificationStatus,verifiedAt,womenPrayer,parking,airConditioning,wudu,jummah,notes,sourceTypes,nsdiId,osmId,sourcesJson
nsdi-26430,Mohaidee Sinna Palli (mosque),9.032851687000061,79.88280943400008,Mannar,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/0826/MN 42, name='MOHIDEEN MOSQUE', score=72.7) — not linked, needs manual review.",nsdi,26430,,"[{""type"": ""nsdi"", ""id"": ""26430"", ""buildingId"": ""1500249"", ""originalName"": ""Mohaidee Sinna Palli (mosque)"", ""latitude"": 9.032851687000061, ""longitude"": 79.88280943400008, ""district"": ""Mannar"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-26432,Mohideen Grand Mosque,9.033480317000055,79.87994060000005,Mannar,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/0759/MN 33, name='KONDACHCHI MOHIDEEN MOSUQE', score=100.0) — not linked, needs manual review.",nsdi,26432,,"[{""type"": ""nsdi"", ""id"": ""26432"", ""buildingId"": ""1500212"", ""originalName"": ""Mohideen Grand Mosque"", ""latitude"": 9.033480317000055, ""longitude"": 79.87994060000005, ""district"": ""Mannar"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-26436,Kaddubaba Jumma Palli (Mosque),9.034146086000021,79.87871216500008,Mannar,,,low,unverified,,,,,,,,nsdi,26436,,"[{""type"": ""nsdi"", ""id"": ""26436"", ""buildingId"": ""1500217"", ""originalName"": ""Kaddubaba Jumma Palli (Mosque)"", ""latitude"": 9.034146086000021, ""longitude"": 79.87871216500008, ""district"": ""Mannar"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-26437,,9.035278571000049,79.87834388000005,Mannar,,,low,unverified,,,,,,,,nsdi,26437,,"[{""type"": ""nsdi"", ""id"": ""26437"", ""buildingId"": ""1100327"", ""originalName"": null, ""latitude"": 9.035278571000049, ""longitude"": 79.87834388000005, ""district"": ""Mannar"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-26488,Koataspaththiri Mosque,9.084055544000023,79.83004243600004,Mannar,,,low,unverified,,,,,,,,nsdi,26488,,"[{""type"": ""nsdi"", ""id"": ""26488"", ""buildingId"": ""1100028"", ""originalName"": ""Koataspaththiri Mosque"", ""latitude"": 9.084055544000023, ""longitude"": 79.83004243600004, ""district"": ""Mannar"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-26613,,9.260965647000035,80.12346177100005,Kilinochchi,,,low,unverified,,,,,,,,nsdi,26613,,"[{""type"": ""nsdi"", ""id"": ""26613"", ""buildingId"": ""800808"", ""originalName"": """", ""latitude"": 9.260965647000035, ""longitude"": 80.12346177100005, ""district"": ""Kilinochchi"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-26737,Masjithul Abtheen Jumma,9.410787653000057,80.40779967000003,Kilinochchi,,,high,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/0889/KN/02, name='MASJIDUL ABDEEN JUMMA MOSQUE', score=76.9) — not linked, needs manual review.","nsdi,osm",26737,node/3958970329,"[{""type"": ""nsdi"", ""id"": ""26737"", ""buildingId"": ""800518"", ""originalName"": ""Masjithul Abtheen Jumma"", ""latitude"": 9.410787653000057, ""longitude"": 80.40779967000003, ""district"": ""Kilinochchi"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}, {""type"": ""osm"", ""id"": ""node/3958970329"", ""osmLink"": ""https://www.openstreetmap.org/node/3958970329"", ""originalName"": ""Mosque"", ""nameTa"": null, ""nameSi"": null, ""latitude"": 9.4109172, ""longitude"": 80.4073988, ""addrCity"": null, ""addrStreet"": null, ""sourceQuery"": ""religion=muslim"", ""note"": ""OpenStreetMap, ODbL-licensed (© OpenStreetMap contributors).""}]"
nsdi-26895,,9.592172135000055,79.77470021600004,Jaffna,,,low,unverified,,,,,,,,nsdi,26895,,"[{""type"": ""nsdi"", ""id"": ""26895"", ""buildingId"": ""301033"", ""originalName"": """", ""latitude"": 9.592172135000055, ""longitude"": 79.77470021600004, ""district"": ""Jaffna"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-26993,MANKUMPAN MOSQUE,9.633517361000031,79.92243272100006,Jaffna,VELANAI,R/0567/J/12,high,needs_review,,,,,,,,"dmrca,nsdi",26993,,"[{""type"": ""nsdi"", ""id"": ""26993"", ""buildingId"": ""300930"", ""originalName"": ""Mankumpan Jumma Mosque"", ""latitude"": 9.633517361000031, ""longitude"": 79.92243272100006, ""district"": ""Jaffna"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}, {""type"": ""dmrca"", ""id"": ""R/0567/J/12"", ""originalName"": ""MANKUMPAN MOSQUE"", ""address"": ""VELANAI"", ""city"": ""JAFFNA"", ""district"": ""Jaffna"", ""mosqueType"": ""M"", ""sourcePdf"": ""jaffana__JAFFNA-DISTRICT.pdf"", ""sourcePdfUrl"": ""https://muslimaffairs.gov.lk/wp-content/uploads/2023/12/JAFFNA-DISTRICT.pdf"", ""note"": ""Department of Muslim Religious and Cultural Affairs Registered Mosque List.""}]"
nsdi-26997,Mankumban Darga,9.634099363000075,79.92655039700009,Jaffna,,,medium,needs_review,,,,,,,,"nsdi,osm",26997,node/3541636944,"[{""type"": ""nsdi"", ""id"": ""26997"", ""buildingId"": ""301022"", ""originalName"": """", ""latitude"": 9.634099363000075, ""longitude"": 79.92655039700009, ""district"": ""Jaffna"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}, {""type"": ""osm"", ""id"": ""node/3541636944"", ""osmLink"": ""https://www.openstreetmap.org/node/3541636944"", ""originalName"": ""Mankumban Darga"", ""nameTa"": null, ""nameSi"": null, ""latitude"": 9.6338175, ""longitude"": 79.9274359, ""addrCity"": null, ""addrStreet"": null, ""sourceQuery"": ""religion=muslim"", ""note"": ""OpenStreetMap, ODbL-licensed (© OpenStreetMap contributors).""}]"
