priorityRank,reviewType,priorityReason,id,name,district,address,dmrcaRegistrationNo,latitude,longitude,confidence,notes
157,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-24532,Huda Jumma Masjid,Batticaloa,,,7.915080115000023,81.52597023300007,high,
158,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-24533,Bazar Masjid,Batticaloa,,,7.915820083000028,81.52019274300005,high,
159,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-24561,Masjidul Hairath,Batticaloa,,,7.923005386000057,81.52410274600004,high,
160,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-24645,,Puttalam,,,7.96226206800003,79.83084827100004,high,
161,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-24686,,Puttalam,,,7.97804786100005,79.83280408100006,high,
162,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-24782,Kalawewa Jumma Grand Masjid,Anuradhapura,,,8.021484688000044,80.52755750600005,high,
163,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-24824,KEKIRAWA JUMMA MOSQUE,Anuradhapura,KEKIRAWA,R/0205/A/04,8.036800037000035,80.59897791000003,high,
164,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-24861,Paariyappa Mosque,Puttalam,,,8.046897802000046,79.82916220700008,high,
165,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-24992,PANGURANA MOSQUE,Polonnaruwa,SUNGAWILA,R/863/PL.13,8.112595512000041,81.09038546900007,high,
166,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25164,MASJIDUL MANNAR,Puttalam,"AL MINAR PURAM, SCHOOL ROAD",R/1912/P 174,8.190446094000038,79.71609536900007,high,
167,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25606,,Trincomalee,,,8.439469871000028,81.26079275000006,high,
